Name,Position,Price number,Points total,Team
L. Sinisterra,MID,3,23,Bournemouth
M. Travers,GK,2.3,23,Bournemouth
K. McAteer,MID,2.3,23,Leicester City
A. Fatawu,FWD,3.1,23,Leicester City
O. Scarles,DEF,2.3,23,West Ham United
Jorginho,MID,3.7,22,Arsenal
C. Burgess,DEF,2.3,22,Ipswich Town
V. Coufal,DEF,3.2,22,West Ham United
B. Johnson,DEF,2.6,22,Ipswich Town
D. Jebbison,FWD,2.7,22,Bournemouth
A. Khusanov,DEF,3.1,22,Manchester City
W. Endo,MID,3,21,Liverpool
J. Bree,DEF,2.2,21,Southampton
A. Scott,MID,2.5,21,Bournemouth
E. Agbadou,DEF,2.8,21,Wolverhampton Wanderers
.. Diego Carlos,DEF,3,20,Aston Villa
A. Tuanzebe,DEF,2.4,20,Ipswich Town
M. Turner,GK,3,20,Crystal Palace
J. Evans,DEF,2.5,19,Manchester United
W. Boly,DEF,2.9,19,Nottingham Forest
R. Sterling,FWD,5.3,19,Arsenal
J. Gomez,DEF,3.9,19,Liverpool
L. Kelly,DEF,2.6,19,Newcastle United
H. Elliott,MID,3.5,19,Liverpool
M. Moore,MID,2.5,19,Tottenham Hotspur
C. Alcaraz,MID,2.5,19,Everton
M. Luongo,MID,2.3,18,Ipswich Town
M. Senesi,DEF,2.8,18,Bournemouth
F. Kadioglu,MID,3.3,18,Brighton and Hove Albion
N. Patterson,DEF,2.7,18,Everton
C. Okoli,DEF,2.2,18,Leicester City
D. Gómez,MID,2.6,18,Brighton and Hove Albion
L. Yoro,DEF,3.5,18,Manchester United
J. Steele,GK,2.9,17,Brighton and Hove Albion
A. Palmer,GK,2.2,17,Ipswich Town
V. Lindelöf,DEF,3.6,17,Manchester United
K. Dewsbury-Hall,MID,3.7,17,Chelsea
A. García,DEF,2.6,17,Aston Villa
A. McCarthy,GK,2.4,16,Southampton
K. Walker,DEF,4.8,16,Manchester City
C. Wilson,FWD,5,16,Newcastle United
I. Julio,DEF,2.7,16,Brighton and Hove Albion
J. Kiwior,DEF,3.4,16,Arsenal
C. Dawson,DEF,2.7,15,Wolverhampton Wanderers
C. Townsend,DEF,2.3,15,Ipswich Town
H. Toffolo,DEF,2.5,15,Nottingham Forest
K. Tierney,DEF,3.5,15,Arsenal
M. Tel,FWD,3.9,15,Tottenham Hotspur
Danilo,MID,2.3,15,Nottingham Forest
R. Veiga,MID,3,15,Chelsea
J. Schlupp,MID,3.1,14,Crystal Palace
S. March,MID,3.5,14,Brighton and Hove Albion
P. Billing,MID,3.2,14,Bournemouth
F. Chiesa,FWD,5.1,14,Liverpool
N. Wood,DEF,2.3,14,Southampton
A. Al Hamadi,FWD,2.2,14,Ipswich Town
N. González,MID,3.9,14,Manchester City
